,name,numeric_id,id,barcode
102,Ednrb,102,NM_007904,0  0  0  0  0  0  1  1  1  0  1  0  0  0  0  0  0  0  0  0
103,Egfl7,103,NM_001164564,0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  1  0  0  1
104,Emcn,104,NM_001163522,1  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0
105,Enpp2,105,NM_015744,0  0  0  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  1  0
106,F13a1,106,NM_028784,0  0  0  0  1  0  0  0  1  0  0  0  0  0  1  0  0  1  0  0
107,Fabp4,107,NM_024406,0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  1
108,Fap,108,NM_007986,0  1  0  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0
109,Fbxo32,109,NM_026346,0  0  1  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  1  0
110,Fcer1g,110,NM_010185,0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  1  1
111,Fcgr1,111,NM_010186,1  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0
112,Fcgr2b,112,NM_010187,0  0  0  1  0  1  0  0  0  1  0  0  0  0  1  0  0  0  0  0
113,Fcgr3,113,NM_010188,0  0  0  0  1  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0
114,Fcgrt,114,NM_010189,1  1  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0
115,Fdps,115,NM_134469,1  0  1  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0
116,Fetub,116,NM_001083905,0  0  1  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1  0  0
117,Flt1,117,NM_010228,1  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  1
118,Folr2,118,NM_008035,0  1  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  1  0  0
119,Foxc2,119,NM_013519,0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  1  0
120,Foxp3,120,NM_001199348,0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  1  0  0  0
121,Fstl1,121,NM_008047,0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1
122,Fxyd3,122,NM_008557,1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
123,G0s2,123,NM_008059,0  0  1  0  1  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0
124,Gimap5,124,NM_175035,0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  1
125,Gm13889,125,NM_001145034,0  1  0  0  1  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0
126,Gprin3,126,NM_183183,0  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  1  0  0
127,Grrp1,127,NM_001099296,0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  1
128,Gzmb,128,NM_013542,0  0  0  1  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  1
129,Gzmc,129,NM_010371,0  0  0  0  1  0  0  0  0  0  1  1  0  0  0  0  1  0  0  0
130,Gzmd,130,NM_010372,0  1  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0
131,Gzmf,131,NM_010374,0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  0  1  0
132,Hells,132,NM_008234,0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  1
133,Higd1a,133,NM_019814,0  1  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0
134,Higd1b,134,NM_080846,0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  1  0  1
135,Hilpda,135,NM_023516,1  0  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0
136,Hmgb2,136,NM_008252,1  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0
137,Hmmr,137,NM_013552,1  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0
138,Hs3st1,138,NM_010474,0  1  0  0  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0
139,Hspb1,139,NM_013560,0  0  0  1  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0
140,Hspg2,140,NM_008305,0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  1  0  0
141,Ifi205,141,NM_172648,0  1  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
142,Ifi27l2a,142,NM_029803,0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  1  0  0
